calories	fat	sugars	rating	name
70	1	6	68.402973	100%_Bran
120	5	8	33.983679	100%_Natural_Bran
70	1	5	59.425505	All-Bran
50	0	0	93.704912	All-Bran_with_Extra_Fiber
110	2	8	34.384843	Almond_Delight
110	2	10	29.509541	Apple_Cinnamon_Cheerios
110	0	14	33.174094	Apple_Jacks
130	2	8	37.038562	Basic_4
90	1	6	49.120253	Bran_Chex
90	0	5	53.313813	Bran_Flakes
120	2	12	18.042851	Cap'n'Crunch
110	2	1	50.764999	Cheerios
120	3	9	19.823573	Cinnamon_Toast_Crunch
110	2	7	40.400208	Clusters
110	1	13	22.736446	Cocoa_Puffs
110	0	3	41.445019	Corn_Chex
100	0	2	45.863324	Corn_Flakes
110	0	12	35.782791	Corn_Pops
110	1	13	22.396513	Count_Chocula
110	3	7	40.448772	Cracklin'_Oat_Bran
100	0	0	64.533816	Cream_of_Wheat_(Quick)
110	0	3	46.895644	Crispix
100	1	10	36.176196	Crispy_Wheat_&_Raisins
100	0	5	44.330856	Double_Chex
110	1	13	32.207582	Froot_Loops
110	0	11	31.435973	Frosted_Flakes
100	0	7	58.345141	Frosted_Mini-Wheats
120	2	10	40.917047	Fruit_&_Fibre_Dates_Walnuts_and_Oats
120	0	12	41.015492	Fruitful_Bran
110	1	12	28.025765	Fruity_Pebbles
100	0	15	35.252444	Golden_Crisp
110	1	9	23.804043	Golden_Grahams
100	1	5	52.076897	Grape_Nuts_Flakes
110	0	3	53.371007	Grape-Nuts
120	3	4	45.811716	Great_Grains_Pecan
120	2	11	21.871292	Honey_Graham_Ohs
110	1	10	31.072217	Honey_Nut_Cheerios
110	0	11	28.742414	Honey-comb
110	1	6	36.523683	Just_Right_Crunchy__Nuggets
140	1	9	36.471512	Just_Right_Fruit_&_Nut
110	1	3	39.241114	Kix
100	2	6	45.328074	Life
110	1	12	26.734515	Lucky_Charms
100	1	3	54.850917	Maypo
150	3	11	37.136863	Muesli_Raisins_Dates_&_Almonds
150	3	11	34.139765	Muesli_Raisins_Peaches_&_Pecans
160	2	13	30.313351	Mueslix_Crispy_Blend
100	1	6	40.105965	Multi-Grain_Cheerios
120	1	9	29.924285	Nut&Honey_Crunch
140	2	7	40.69232	Nutri-Grain_Almond-Raisin
90	0	2	59.642837	Nutri-grain_Wheat
130	2	10	30.450843	Oatmeal_Raisin_Crisp
120	1	14	37.840594	Post_Nat._Raisin_Bran
100	0	3	41.50354	Product_19
50	0	0	60.756112	Puffed_Rice
50	0	0	63.005645	Puffed_Wheat
100	1	6	49.511874	Quaker_Oat_Squares
100	2	-1	50.828392	Quaker_Oatmeal
120	1	12	39.259197	Raisin_Bran
100	2	8	39.7034	Raisin_Nut_Bran
90	0	6	55.333142	Raisin_Squares
110	0	2	41.998933	Rice_Chex
110	0	3	40.560159	Rice_Krispies
80	0	0	68.235885	Shredded_Wheat
90	0	0	74.472949	Shredded_Wheat_'n'Bran
90	0	0	72.801787	Shredded_Wheat_spoon_size
110	1	15	31.230054	Smacks
110	0	3	53.131324	Special_K
90	0	5	59.363993	Strawberry_Fruit_Wheats
110	1	3	38.839746	Total_Corn_Flakes
140	1	14	28.592785	Total_Raisin_Bran
100	1	3	46.658844	Total_Whole_Grain
110	1	3	39.106174	Triples
110	1	12	27.753301	Trix
100	1	3	49.787445	Wheat_Chex
100	1	3	51.592193	Wheaties
110	1	8	36.187559	Wheaties_Honey_Gold
